Island_Name,ZoneName,Cluster_DepthBin_ID,Depth_ft_mn,Longitude_DD_mn,Latitude_DD_mn,CoralBleached_Perc_mn,SiteSuscp_mn,DHW.MeanMax.YR01_mn,DHW.MeanMax.YR10YR01_mn,SST_Variability_AllB4_mn,PAR_surface_mn,kdPAR_mn,TotalEffluent_mn,WaveAction_value_mn,AgGolf_runoff_mn,Urban_runoff_mn,TourRec_10yrAvgPUD_mn,PctBleached_hist_mn,Obs_Year,Weights_DriversAndSpatialAnalysis,Weights_TemporalAnalysis
Hawaii,Hawaii_NW,29 Mid,41,-155.981055,19.843489,31.5,2.275641026,6.047500119,5.720833224,2.618962198,46.44693756,0.055625686,962.0032959,6233,0.160504508,0.043593419,36.19320554,53.47187889,2019,1,1
Hawaii,Hawaii_NW,29 Shallow,14,-155.980458,19.842952,1,2.285714286,6.085000023,4.60666658,2.620943321,46.44693756,0.055625686,962.0032959,6233,0.162066142,0.044017558,36.20000076,53.47187889,2019,0.033604988,0.028187795
Oahu,Oahu_S,290 Mid,23.3,-157.7916161,21.25382664,20.5,,,,NA,,,,,,,,,2015,,0.028187795
Oahu,Oahu_S,290 Shallow,18.2,-157.7946052,21.25349673,20.5,,,,NA,,,,,,,,,2015,,1
Oahu,Oahu_S,291 Mid,20,-157.9269981,21.29810617,20.5,,,,NA,,,,,,,,,2015,,0.028187795
Oahu,Oahu_S,291 Shallow,16.6,-157.9266033,21.29854872,22.5,,,,NA,,,,,,,,,2015,,0.443352472
Oahu,Oahu_S,292 Mid,22.3,-157.9446885,21.30245038,14,,,,NA,,,,,,,,,2015,,0.285183161
Oahu,Oahu_S,292 Shallow,17,-157.9415419,21.30289669,10.5,,,,NA,,,,,,,,,2015,,0.301148573
Oahu,Oahu_S,293 Shallow,10.9,-157.9344862,21.30175537,20.9,,,,NA,,,,,,,,,2015,,0.175398746
Hawaii,Hawaii_NW,294 Mid,32.9,-156.051189,19.75511366,59.58333333,,,,NA,,,,,,,,,2015,,0.30295298
Hawaii,Hawaii_NW,295 Mid,23.2,-156.0378809,19.79020221,81.25,,,,NA,,,,,,,,,2015,,0.152865159
Hawaii,Hawaii_NW,295 Shallow,19,-156.0342137,19.79252228,43.75,,,,NA,,,,,,,,,2015,,1
Hawaii,Hawaii_NW,296 Mid,23.3,-156.0430028,19.78627438,57.5,,,,NA,,,,,,,,,2015,,0.100196925
Hawaii,Hawaii_NW,296 Shallow,19.3,-156.0408312,19.7883874,65,,,,NA,,,,,,,,,2015,,0.028187795
Hawaii,Hawaii_NW,297 Mid,30.8,-156.0474983,19.783885,52.28,,,,NA,,,,,,,,,2015,,0.171099315
Hawaii,Hawaii_NW,298 Mid,26.1,-156.050972,19.77323346,45,,,,NA,,,,,,,,,2015,,0.768766376
Hawaii,Hawaii_NW,299 Mid,30.1,-156.0511336,19.76186152,44.375,,,,NA,,,,,,,,,2015,,0.142545877
Kauai,Kauai_N,3 Shallow,5.5,-159.4650858,22.22649,5.2,NA,2.670000076,2.639999916,2.737169842,46.08033244,0.054617501,2614.259005,NA,0.144929826,0.071566006,173.8333282,NA,2019,0.063422145,
Hawaii,Hawaii_SW,30 Mid,32,-155.93278,19.4793,80,2,5.159999758,11.34000015,2.666981139,44.86700058,NA,946.3095647,73.40000153,0.229202322,0.171011938,34.20000076,54.64444444,2019,0.033604988,0.028187795
Hawaii,Hawaii_NW,300 Mid,29.2,-156.050577,19.76754426,45.83333333,,,,NA,,,,,,,,,2015,,0.152787587
Hawaii,Hawaii_NW,301 Mid,31.9,-156.0533065,19.74950233,61.66666667,,,,NA,,,,,,,,,2015,,0.239826613
Hawaii,Hawaii_NW,302 Mid,35,-156.0561667,19.73625333,45.97333333,,,,NA,,,,,,,,,2015,,0.200677403
Hawaii,Hawaii_SW,303 Mid,46,-155.91325,19.1673,62.26666667,,,,NA,,,,,,,,,2015,,0.116250985
Hawaii,Hawaii_NW,304 Mid,37.1,-155.875601,19.94458117,41.875,,,,NA,,,,,,,,,2015,,0.141501019
Hawaii,Hawaii_NW,305 Mid,31.7,-155.8648123,19.95351283,58.08333333,,,,NA,,,,,,,,,2015,,0.062469148
Hawaii,Hawaii_NW,306 Mid,31,-155.8709932,19.94906047,40,,,,NA,,,,,,,,,2015,,0.028187795
Hawaii,Hawaii_NW,306 Shallow,17.2,-155.8690296,19.95066081,50,,,,NA,,,,,,,,,2015,,0.028187795
Hawaii,Hawaii_NW,307 Mid,30.7,-155.8299141,19.99188632,53.75,,,,NA,,,,,,,,,2015,,0.361409353
Hawaii,Hawaii_NW,308 Mid,30.4,-155.8332041,19.98457109,64.01428571,,,,NA,,,,,,,,,2015,,0.095901521
Hawaii,Hawaii_NW,309 Mid,32.9,-155.8300621,19.99917867,52.54666667,,,,NA,,,,,,,,,2015,,0.631763345
Hawaii,Hawaii_NW,31 Mid,40,-155.90017,20.16001,32,2,5.214999944,12.22999954,2.651320799,41.25220871,0.053303098,24.6797438,1318.5,0.000464778,0.021849784,5.260888522,53.47187889,2019,0.033604988,0.028187795
Hawaii,Hawaii_NW,310 Mid,32.7,-155.9346396,19.85497739,33.09166667,,,,NA,,,,,,,,,2015,,0.035033022
Hawaii,Hawaii_NW,311 Mid,30.4,-155.929693,19.86108011,33.16,,,,NA,,,,,,,,,2015,,0.120132963
Hawaii,Hawaii_NW,312 Mid,30.7,-155.9673818,19.85123248,41.66666667,,,,NA,,,,,,,,,2015,,0.195992434
Hawaii,Hawaii_NW,313 Mid,32.8,-155.9093782,19.89483972,45.06,,,,NA,,,,,,,,,2015,,0.160572437
Hawaii,Hawaii_NW,314 Mid,31.6,-155.9053269,19.90298681,40,,,,NA,,,,,,,,,2015,,0.276374448
Hawaii,Hawaii_NW,315 Mid,29.2,-155.960439,19.85332631,42.0125,,,,NA,,,,,,,,,2015,,0.162913609
Hawaii,Hawaii_NW,316 Mid,34,-155.94743,19.85507,23.78,,,,NA,,,,,,,,,2015,,0.028187795
Hawaii,Hawaii_NW,317 Mid,32,-155.9229559,19.8718735,46.24,,,,NA,,,,,,,,,2015,,0.730902721
Hawaii,Hawaii_NW,318 Mid,31,-155.8664935,20.0794293,56.66666667,,,,NA,,,,,,,,,2015,,0.346762805
Hawaii,Hawaii_NW,319 Mid,30.6,-155.8624571,20.07376304,60.15,,,,NA,,,,,,,,,2015,,0.184474616
Hawaii,Hawaii_NW,32 Mid,37,-156.0274625,19.797106,23.5,2.133333333,5.940000147,10.1375002,2.619622807,48.16187541,0.047970667,0,7170.399902,0.102947141,0.042964505,23.20000076,53.47187889,2019,0.406321989,0.250942426
Hawaii,Hawaii_NW,32 Shallow,17,-156.026614,19.79692,2,2,5.980000108,6.805000134,2.62075489,48.16187541,0.047970667,0,7170.399902,0.103010786,0.042774433,23.20000076,53.47187889,2019,0.033604988,0.028187795
Hawaii,Hawaii_NW,320 Mid,25.9,-155.8881792,20.11923185,49.16666667,,,,NA,,,,,,,,,2015,,0.143928957
Hawaii,Hawaii_NW,321 Mid,32.3,-155.8706709,20.08533712,55,,,,NA,,,,,,,,,2015,,0.298049621
Hawaii,Hawaii_NW,322 Mid,30.8,-155.8789983,20.0987497,45.6,,,,NA,,,,,,,,,2015,,1
