Island,Depth_ft,Taxon,Bleached,SST_average_x,SST_average_y,SST_average
Oahu,15,PLIC,60,2.525766534,2.525766534,2.525766534
Oahu,36,PLOB,50,2.525766534,2.525766534,2.525766534
Oahu,11,PMEA,90,2.525766534,2.525766534,2.525766534
Oahu,16,MCAP,100,2.525766534,2.525766534,2.525766534
Oahu,15,PMEA,90,2.525766534,2.525766534,2.525766534
Oahu,13,PMEA,90,2.525766534,2.525766534,2.525766534
Oahu,6,MFLA,100,2.525766534,2.525766534,2.525766534
Oahu,29,PMEA,50,2.525766534,2.525766534,2.525766534
Oahu,12,PMEA,50,2.525766534,2.525766534,2.525766534
Oahu,60,PMEA,1,2.525766534,2.525766534,2.525766534
Oahu,75,PLOB,1,2.525766534,2.525766534,2.525766534
Oahu,65,PLOB,5,2.525766534,2.525766534,2.525766534
Oahu,14,PMEA,4,2.525766534,2.525766534,2.525766534
Oahu,28,PMEA,50,2.525766534,2.525766534,2.525766534
Oahu,50,PMEA,100,2.525766534,2.525766534,2.525766534
Oahu,25,PMEA,10,2.525766534,2.525766534,2.525766534
Oahu,49,PMEA,70,2.525766534,2.525766534,2.525766534
Oahu,15,PMEA,100,2.525766534,2.525766534,2.525766534
Oahu,18,PMEA,50,2.525766534,2.525766534,2.525766534
Oahu,13,PMEA,70,2.525766534,2.525766534,2.525766534
Oahu,36,PMEA,80,2.525766534,2.525766534,2.525766534
Oahu,30,PMEA,100,2.525766534,2.525766534,2.525766534
Oahu,29,MPAT,10,2.525766534,2.525766534,2.525766534
Maui,11,PLOB,10,2.600486142,2.600486142,2.600486142
Maui,7,PLOB,0,2.600486142,2.600486142,2.600486142
Maui,7,PLOB,40,2.600486142,2.600486142,2.600486142
Maui,6,PLOB,5,2.600486142,2.600486142,2.600486142
Maui,11,PLOB,0,2.600486142,2.600486142,2.600486142
Hawaii,20,PLOB,1,2.631593099,2.631593099,2.631593099
Hawaii,27,PLOB,20,2.631593099,2.631593099,2.631593099
Hawaii,19,PLOB,0,2.631593099,2.631593099,2.631593099
Hawaii,22,PLOB,1,2.631593099,2.631593099,2.631593099
Hawaii,35,PMON,5,2.631593099,2.631593099,2.631593099
Hawaii,28,PCOM,10,2.631593099,2.631593099,2.631593099
Hawaii,40,PLOB,5,2.631593099,2.631593099,2.631593099
Hawaii,20,PLOB,2,2.631593099,2.631593099,2.631593099
Hawaii,40,PCOM,5,2.631593099,2.631593099,2.631593099
Hawaii,19,PLOB,2,2.631593099,2.631593099,2.631593099
Hawaii,38,PLOB,1,2.631593099,2.631593099,2.631593099
Hawaii,18,PLOB,5,2.631593099,2.631593099,2.631593099
Hawaii,40,PLOB,10,2.631593099,2.631593099,2.631593099
Hawaii,37,PCOM,0,2.631593099,2.631593099,2.631593099
Hawaii,14,MCAP,1,2.631593099,2.631593099,2.631593099
Hawaii,38,PCOM,0,2.631593099,2.631593099,2.631593099
Hawaii,9,PLOB,0,2.631593099,2.631593099,2.631593099
Hawaii,35,PLOB,0,2.631593099,2.631593099,2.631593099
Hawaii,40,PLOB,30,2.631593099,2.631593099,2.631593099
Hawaii,17,PLOB,2,2.631593099,2.631593099,2.631593099
Hawaii,45,PCOM,0,2.631593099,2.631593099,2.631593099
Hawaii,35,PLOB,10,2.631593099,2.631593099,2.631593099
Hawaii,39,PLOB,20,2.631593099,2.631593099,2.631593099
Hawaii,20,PLOB,1,2.631593099,2.631593099,2.631593099
Hawaii,39,PLOB,0,2.631593099,2.631593099,2.631593099
Hawaii,16,PLOB,1,2.631593099,2.631593099,2.631593099
Hawaii,15,PLOB,0,2.631593099,2.631593099,2.631593099
Hawaii,41,PLOB,30,2.631593099,2.631593099,2.631593099
Hawaii,24,PLOB,5,2.631593099,2.631593099,2.631593099
Hawaii,40,PLOB,15,2.631593099,2.631593099,2.631593099
Hawaii,17,PLOB,2,2.631593099,2.631593099,2.631593099
Hawaii,36,PCOM,0,2.631593099,2.631593099,2.631593099
Hawaii,20,PLOB,0,2.631593099,2.631593099,2.631593099
Hawaii,14,PLOB,0,2.631593099,2.631593099,2.631593099
Hawaii,37,PLOB,5,2.631593099,2.631593099,2.631593099
Hawaii,25,PLOB,0,2.631593099,2.631593099,2.631593099
Hawaii,40,PLOB,20,2.631593099,2.631593099,2.631593099
Hawaii,42,PCOM,60,2.631593099,2.631593099,2.631593099
Hawaii,35,PMEA,10,2.631593099,2.631593099,2.631593099
Hawaii,42,PLOB,2,2.631593099,2.631593099,2.631593099
Hawaii,16,MCAP,20,2.631593099,2.631593099,2.631593099
Hawaii,45,PCOM,1,2.631593099,2.631593099,2.631593099
Hawaii,42,PLOB,30,2.631593099,2.631593099,2.631593099
Hawaii,42,PCOM,50,2.631593099,2.631593099,2.631593099
Hawaii,32,PLOB,80,2.631593099,2.631593099,2.631593099
Hawaii,40,PLOB,20,2.631593099,2.631593099,2.631593099
Hawaii,34,PCOM,80,2.631593099,2.631593099,2.631593099
Hawaii,37,PLOB,40,2.631593099,2.631593099,2.631593099
Hawaii,47,PLOB,40,2.631593099,2.631593099,2.631593099
Hawaii,40,PLOB,30,2.631593099,2.631593099,2.631593099
Hawaii,46,PLOB,20,2.631593099,2.631593099,2.631593099
Hawaii,31,PLOB,30,2.631593099,2.631593099,2.631593099
Hawaii,8,PMEA,15,2.631593099,2.631593099,2.631593099
Hawaii,28,PLOB,50,2.631593099,2.631593099,2.631593099
Hawaii,20,PLOB,15,2.631593099,2.631593099,2.631593099
Hawaii,11,PCOM,80,2.631593099,2.631593099,2.631593099
Hawaii,10,PMEA,20,2.631593099,2.631593099,2.631593099
Hawaii,46,PGRA,25,2.631593099,2.631593099,2.631593099
Hawaii,15,PDUE,50,2.631593099,2.631593099,2.631593099
Hawaii,10,MFLA,0,2.631593099,2.631593099,2.631593099
Hawaii,8,PDUE,40,2.631593099,2.631593099,2.631593099
Hawaii,20,PDUE,100,2.631593099,2.631593099,2.631593099
Hawaii,13,PLUT,5,2.631593099,2.631593099,2.631593099
Hawaii,10,PMEA,100,2.631593099,2.631593099,2.631593099
Hawaii,5,PLUT,10,2.631593099,2.631593099,2.631593099
Lanai,16,MPAT,20,2.685823911,2.685823911,2.685823911
Lanai,67,PLOB,0,2.685823911,2.685823911,2.685823911
Lanai,61,MCAP,10,2.685823911,2.685823911,2.685823911
Lanai,38,PCOM,0,2.685823911,2.685823911,2.685823911
Lanai,28,MPAT,10,2.685823911,2.685823911,2.685823911
Lanai,38,MCAP,15,2.685823911,2.685823911,2.685823911
Lanai,47,PLOB,5,2.685823911,2.685823911,2.685823911
